フィーチャID,形状(WKT),ルートID,名称,問い合わせ先,ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(136.797165870666 35.3577312042955),rt0101-4,木曽川堤の桜,一宮市役所観光交流課　観光グループ 0586-28-9131,https://www.city.ichinomiya.aichi.jp/ ,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:15:55
2,POINT(136.755736470222 35.270990126671),rt0101-2,萩原・萬葉公園,樫の木文化資料館 0586-46-3215（一宮市博物館）,http://www.138ss.com/spot/detail/3/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:17:29
3,POINT(136.739830970764 35.205198281712),rt0101-1,平和の桜並木,稲沢市市長公室平和支所 0567-46-1111,http://www.city.inazawa.aichi.jp/miryoku/heiwa_sakura/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/01/19 09:28:53
4,POINT(136.80652141571 35.2753784393084),rt0101-3,一宮地方総合卸売市場,0586-44-1119,http://ichinomiyaichiba.p-kit.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 15:07:12
5,POINT(136.788464784622 35.2478884429289),rt0102-2,稲沢公園,稲沢市役所　都市整備課 0587-32-1372,http://www.city.inazawa.aichi.jp/shisetsuannai/koen_shizen/1008196/1008239.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/01/27 11:03:13
6,POINT(136.793491244316 35.2400111647505),rt0102-3,あじさい寺（大塚性海寺歴史公園）,稲沢市役所　商工観光課 0587-32-1332,http://www.city.inazawa.aichi.jp/shisetsuannai/koen_shizen/koen/1001719.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:19:33
7,POINT(136.770810484886 35.2297713119421),rt0102-4,植木センター（愛知県植木センター）,0587-36-1148,http://aichi-ueki.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/28 15:35:11
8,POINT(136.804066084076 35.2522848515822),rt0102-1,国府宮の農産物直売所,ＪＡ愛知西　産直広場国府宮店 0587-32-1251,https://www.ja-aichinishi.or.jp/store/detail.php?id=29,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/16 10:24:39
9,POINT(136.738755705128 35.2568040299902),rt0103-1,ぎんなん・いちょう並木,稲沢市観光協会 0587-22-1414,https://www.inazawa-kankou.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/12 10:31:50
10,POINT(136.702902317047 35.2595145729585),rt0103-2,木曽三川公園ワイルドネイチャープラザ,0587-97-8722,http://www.kisosansenkoen.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 10:08:09
11,POINT(136.746225357056 35.2381184010304),rt0103-3,産直広場一色下方店 ,0587-36-6780,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/16 10:34:24
12,POINT(137.052565813065 35.2409487674549),rt0104-1,森林公園,0561-53-1551（代）,https://www.aichishinrin.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 15:20:37
13,POINT(137.088915109634 35.1308247481635),rt0104-3/rt0105-3,愛知牧場,0561-72-1300,http://www.aiboku.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 15:22:14
14,POINT(137.061761770772 35.1851565490319),rt0104-2/rt0105-4/rt0106-2,あぐりん村,0561-64-2831,http://www.nagakuteonsen.jp/agrin/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/14 15:00:14
15,POINT(137.006297960377 35.0410161649192),rt0105-1,愛知豊明花き地方卸売市場,0562-96-1199,https://fengming.jp/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/17 15:00:27
16,POINT(137.010938058726 35.1141216757931),rt0105-2/rt0106-4,名古屋市農業センター delaふぁーむ,052-801-5221,http://www.city.nagoya.jp/kurashi/category/19-8-4-2-2-0-0-0-0-0.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/01/25 15:25:29
17,POINT(137.05373581541 35.0973388934808),rt0106-3,東郷町文化産業まつり,東郷町役場 0561-38-3111,https://www.town.aichi-togo.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/14 15:06:13
18,POINT(137.111397385597 35.1879089973768),rt0106-1,あいち海上の森センター,0561-86-0606,https://www.pref.aichi.jp/soshiki/kaisho/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:34:58
19,POINT(136.877371317033 35.2780558700919),rt0107-1,五条川の桜と尾北自然歩道,岩倉市商工農政課 0587-38-5812,https://www.city.iwakura.aichi.jp/category/3-11-0-0-0.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/12 10:41:12
20,POINT(136.857998371124 35.3496895951829),rt0107-2,曼陀羅寺公園のフジ,江南市役所　都市整備部　都市計画課 0587-54-1111,https://www.city.konan.lg.jp/shisetsu/kouen/1002997/1003002.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:36:39
21,POINT(136.995445489883 35.334137879908),rt0107-4,入鹿池,水土里ネット愛知 052-551-3611,http://www.aichi-doren.or.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:37:52
22,POINT(136.984640768425 35.3701018799389),rt0107-3/rt0108-4,犬山里山学センター,犬山里山学センター 0568-65-2121,https://www.city.inuyama.aichi.jp/kurashi/manabu/1000897/1001519/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/08/12 10:42:48
23,POINT(136.899819374084 35.375141737454),rt0108-3,木曽川扶桑緑地公園,都市整備課 0587-93-1111,https://www.town.fuso.lg.jp/seisaku/shisetsu/011.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/01/27 11:14:31
24,POINT(136.879713535309 35.3706276080649),rt0108-2,すいとぴあ江南,0587-53-5111,https://suitopia.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:39:38
25,POINT(136.848953962326 35.0726731141979),rt0109-1,藤前干潟,稲永ビジターセンター 052-389-5821,https://chubu.env.go.jp/wildlife/fujimae/institution/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:40:16
26,POINT(136.841293573379 35.2162958521698),rt0109-3,清須の自然と歴史,市民環境部　産業課 052-400-2911 ,http://www.city.kiyosu.aichi.jp/shisetsu_annai/kanko_shisetsu_sonota/kiyosu_koen.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 14:49:08
27,POINT(136.841143369675 35.2373122104768),rt0109-4,五条川の桜,清須市役所 052-400-2911, https://www.city.kiyosu.aichi.jp/ ,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:43:06
28,POINT(136.812508106232 35.1153802097097),rt0109-2,農業文化園と戸田川緑地公園,戸田川緑地管理センター 052-302-5321,http://www.bunkaen-todagawa.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:44:56
29,POINT(136.992280714693 35.271677604392),rt0110-2,落合公園の桜,春日井市公園緑地課 0568-85-6281,https://www.city.kasugai.lg.jp/shimin/bunka/sports/asamiya/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 13:27:02
30,POINT(136.959820389748 35.2560190241706),rt0110-3,朝宮公園,春日井市公園緑地課 0568-85-6281,http://www.city.kasugai.lg.jp/shisei/machi/park/1008523/1008545/1008551.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 10:27:47
31,POINT(137.048327922821 35.2516471858258),rt0110-4/rt0111-3,東谷山フルーツパーク,052-736-3344,https://www.fruitpark.org/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:47:30
32,POINT(136.968894222047 35.2970889887568),rt0111-2,ＪＡ尾張中央桃選果場,JA尾張中央　小牧東部営農生活センター　 0568-79-8000,https://ja-owari-chuoh.or.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 13:38:35
33,POINT(136.995401329288 35.3191602868974),rt0112-1,兒（ちご）の森,こども未来部　こども政策課　青少年育成係 0568-76-1179 ,https://www.city.komaki.aichi.jp/admin/life/kosodate/kosodateshisetsu/15564.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 13:41:35
34,POINT(137.005573511124 35.3116845715262),rt0112-2,市民四季の森,0568-78-4554,https://www.city.komaki.aichi.jp/admin/event_1/midokoro/shiminshikinomori/16809.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/24 09:33:35
35,POINT(137.058305740356 35.3025526517321),rt0112-3,都市緑化植物園 (グリーンピア春日井),0568-92-8711,https://www.city.kasugai.lg.jp/shisetsu/sonota/syokubutsuen/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/01/27 11:20:28
36,POINT(137.055162191391 35.3035858448974),rt0112-4,少年自然の家,0568-92-8211,https://www.spofure-kasugai.or.jp/natures/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2023/01/26 14:41:25
37,POINT(136.912693977356 35.2927892006194),rt0110-1/rt0111-1,小牧山,小牧市歴史館 0568-72-0712,http://www.city.komaki.aichi.jp/admin/event_1/events/bunkazai/1/news/rekishikan/index.html ,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 10:31:52
38,POINT(136.68906211853 35.1613541917272),rt0201-2,花ハス,愛西市観光協会 0567-55-9993,https://www.aisaikankou.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:58:02
39,POINT(136.690231561661 35.2078544733821),rt0201-1,れんこん,ＪＡあいち海部 0567-28-6688,https://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 11:58:58
40,POINT(136.725233363275 35.1013475675288),rt0201-5,立田輪中人造堰樋門,弥富市歴史民俗資料館 0567-65-4355,https://www.city.yatomi.lg.jp/kurashi/1000296/1000301/1000303.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 13:57:43
41,POINT(136.694383044323 35.1441941811644),rt0201-3/rt0204-4,立田ふれあいの里,0567-23-1011,http://www.tatsuta-fureai.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 13:59:01
42,POINT(136.721016853725 35.106199965799),rt0201-4/rt0204-3,弥富市歴史民俗資料館,0567-65-4355,https://www.city.yatomi.lg.jp/kurashi/1000296/1000301/1000303.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 14:01:05
43,POINT(136.718625426292 35.1780440402946),rt0202-2,津島神社,0567-26-3216,http://www.tsushima-kankou.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:07:06
44,POINT(136.720497608185 35.1736241511544),rt0202-1,天王川公園,シティプロモーション課プロモーショングループ 0567-24-1111,https://www.city.tsushima.lg.jp/shokai/kankouannai/tennougawakouen.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 11:08:25
45,POINT(136.711719616918 35.1644978602053),rt0202-4,JAあいち海部グリーンセンター津島店,0567-23-3511,https://www.ja-aichiama.com/food/gctsushima.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 14:07:32
46,POINT(136.719274520874 35.1761498315166),rt0202-3,堀田家住宅,津島市教育委員会 社会教育課 生涯学習グループ 0567-24‐1111,https://www.city.tsushima.lg.jp/shokai/bunka/bunkazai/jyuuyoubunnkazai.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:08:10
47,POINT(136.734112501144 35.1136863974971),rt0203-1,金魚、金魚池,弥富金魚漁業協同組合 0567-65-1250,https://www.city.yatomi.lg.jp/shisei/kanko/1001203/index.html,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:11:19
48,POINT(136.786437034607 35.0830732326061),rt0203-2,海部南部味噌,ＪＡあいち海部 0567-28-6688,http://www.ja-aichiama.com/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:12:13
49,POINT(136.792334603552 35.1315014424672),rt0203-3,海部水郷地帯の酒,あま市観光協会 052-485-8671,http://www.ama-kankou.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 14:17:42
50,POINT(136.778158115828 35.1337014295422),rt0203-4,尾張温泉,蟹江町観光協会事務局  0567-58-1360,https://www.kaninavi.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 14:18:29
51,POINT(136.719315201852 35.1044448883581),rt0204-2,水郷の塔,弥富市役所 0567-65-1111,https://www.city.yatomi.lg.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 14:19:53
52,POINT(136.784591674805 35.0497433935636),rt0204-1,弥富野鳥園,0567-68-2338,https://www.aichi-park.or.jp/yachou/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/22 11:12:39
53,POINT(136.769716143608 35.2054042930849),rt0205-4,蓮華寺寺叢,052-444-1272,"","","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:19:10
54,POINT(136.799064874649 35.1836650203804),rt0205-2,七宝焼アートヴレッジ,052-443-7588,https://www.shippoyaki.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/29 13:19:34
55,POINT(136.785237227556 35.1686819266218),rt0205-1,JA海部東グリーンプラザ,0567-23-7380,https://www.ja-amahigashi.or.jp/,"","",システム管理者,2015/01/26 15:48:15,システム管理者,2022/11/15 14:26:51
