フィーチャID,形状(WKT),名称,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(137.358960925824 34.9224078308406),【西三河】万足平の猪垣,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:08:15
5,POINT(137.217133364931 35.0098486808833),【西三河】駒立ぶどう狩り園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 16:04:59
6,POINT(137.187215752249 34.9868878792794),【西三河】おかざき農遊館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 16:04:01
7,POINT(137.1295773983 34.9160812865718),【西三河】ふれあいドーム岡崎,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 16:04:26
8,POINT(136.809064149857 35.35772245434),【尾張】138タワーパーク,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 09:48:25
9,POINT(136.75462603569 35.2314013621776),【尾張】愛知県下水道科学館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/24 14:34:05
10,POINT(136.800127029419 35.2839835717035),【尾張】一宮市博物館・妙興寺,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 09:49:00
11,POINT(136.736665964127 35.3057441253411),【尾張】尾西歴史民俗資料館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 09:49:58
12,POINT(137.090899944305 35.2803533245563),【尾張】定光寺,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 09:48:05
13,POINT(137.144812345505 35.2401776557418),【尾張】岩谷堂公園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 09:51:59
14,POINT(137.080492973328 35.1169160193602),【尾張】愛知池,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/24 14:40:15
15,POINT(137.098731994629 35.2171460773879),【尾張】瀬戸市南公園・萩殿の森,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 09:57:06
16,POINT(137.027631998062 35.2210640104766),【尾張】城山公園及び長池・維摩池,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/24 14:45:02
17,POINT(137.100749015808 35.2253892941213),【尾張】瀬戸蔵,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 10:06:10
18,POINT(137.048488855362 35.1732733560094),【尾張】長久手市郷土資料室,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 10:08:27
19,POINT(137.089086771011 35.1737337743268),【尾張】愛地球博記念公園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 16:17:14
20,POINT(136.680189371109 35.1317241267782),【海部】船頭平閘門,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/24 16:17:13
21,POINT(136.677330243803 35.1384113792401),【海部】加藤牧場,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 16:17:44
22,POINT(136.864006519318 34.9920525337014),【知多】牟山神社,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 13:54:09
23,POINT(136.883248570154 34.9623903250425),【知多】水の生活館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 13:55:51
24,POINT(136.833692193031 34.9618465793852),【知多】日長神社,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 13:59:05
25,POINT(137.428332567215 35.2238336208769),【豊田加茂】奧矢作湖,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:10:05
26,POINT(137.421637773514 35.2136749988142),【豊田加茂】黒谷渓谷,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:09:11
27,POINT(137.385535240173 35.1975886444312),【豊田加茂】押井磨崖物,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/24 10:31:47
28,POINT(137.246457338333 35.1939106897592),【豊田加茂】ふじの回廊,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:05:51
29,POINT(137.195940613747 35.2053429280498),【豊田加茂】金剛寺しだれ桜,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/24 10:28:24
30,POINT(137.509855628014 35.2142579049543),【豊田加茂】瑞龍寺しだれ桜,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 10:55:02
31,POINT(137.509855628014 35.2100153044904),【豊田加茂】大井平公園,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 10:57:24
32,POINT(137.403516769409 35.0669347017935),【豊田加茂】保殿の七滝,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 10:53:19
33,POINT(137.357512318725 35.0293341208188),【豊田加茂】羽左の窪,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 10:41:10
34,POINT(137.570340663568 34.9689374041482),【新城設楽】観来館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:34:06
35,POINT(137.218084931374 34.6144026460186),【東三河】太平洋ロングビーチ,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:59:44
36,POINT(137.108924388885 34.622375539459),【東三河】渥美郷土資料館,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:59:59
37,POINT(137.056338169723 34.5954064314889),【東三河】伊良湖東大寺窯跡,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:59:08
38,POINT(137.02940762043 34.5886422307006),【東三河】句碑・歌碑,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:58:43
39,POINT(137.026355266571 35.0992480716986),【尾張】涼松せせらぎの道,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:09:02
40,POINT(137.556971311569 35.1997102970115),【豊田加茂】オオキツネノカミソリ他,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:03:33
42,POINT(136.86519742012 34.8408673903788),【知多】潮干狩り（大谷）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:09:46
43,POINT(136.865358352661 34.8250245816871),【知多】潮干狩り（小鈴谷）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 14:51:06
44,POINT(136.862536668777 34.8162432354458),【知多】潮干狩り（坂井）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:10:38
45,POINT(136.858191490173 34.7997085120757),【知多】潮干狩り（奥田北）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:11:23
46,POINT(136.858620643616 34.8067297881389),【知多】潮干狩り（上野間）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:12:19
47,POINT(136.856775283813 34.7955853259785),【知多】潮干狩り（奥田中）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/02/09 09:38:12
48,POINT(136.84965133667 34.7799452995611),【知多】潮干狩り（奥田南）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:13:39
49,POINT(136.947042346001 34.7417094770895),【知多】潮干狩り（山田）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:14:17
50,POINT(136.942766904831 34.7473780992539),【知多】潮干狩り（久方）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:14:46
51,POINT(136.938786506653 34.7495114457255),【知多】潮干狩り（矢梨）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/02/09 09:42:59
52,POINT(136.916921138763 34.7856994118729),【知多】潮干狩り（北方）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/02/09 09:44:52
53,POINT(136.91913664341 34.7983781903764),【知多】潮干狩り（河和口）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:16:50
54,POINT(136.921244859695 34.8025364756215),【知多】潮干狩り（大池）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:17:25
55,POINT(136.921480894089 34.8050912502383),【知多】潮干狩り（上村）,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:18:22
56,POINT(137.698227167129 35.1433712791715),【新城設楽】湯～らんどパルとよね,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/25 10:29:20
57,POINT(137.655515670776 35.2275759505958),【新城設楽】茶臼山高原,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:20:21
