フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ電話番号,問い合わせホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(136.788293123245 35.2471349210532),da010102,稲沢公園,豊かな緑に包まれた公園です。バラや桜、広大な芝生広場や散歩道での憩いのひとときを。樹木の名に詳しくなれます。,稲沢市役所建設部都市整備課,0587-32-1372,http://www.city.inazawa.aichi.jp/shisetsuannai/koen_shizen/1008196/1008239.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/27 11:03:01
2,POINT(136.79355076725 35.2400024469971),da010103,あじさい寺（大塚性海寺歴史公園）,約９０種１万本のあじさいが一斉に咲きほこる、歴史と自然が一体となった名所です。,稲沢市役所商工観光課,0587-32-1332,http://www.city.inazawa.aichi.jp/shisetsuannai/koen_shizen/koen/1001719.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/03/02 15:30:25
3,POINT(136.738755705128 35.2568040299902),da010104,ぎんなん・いちょう並木,樹齢１００年を超えるいちょう大木群は、その昔、伊吹おろしを防ぐために植えられたのが始まりといいます。新緑の季節、青葉の季節、黄葉の季節、四季それぞれの美しさを見せてくれます。,稲沢市観光協会,0587-22-1414,http://www.inazawa-kankou.jp/sobueicyousansaku/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 10:07:07
4,POINT(136.702923774719 35.2596459816267),da010105,木曽三川公園 ワイルドネイチャープラザ,清流と緑豊かなまち・稲沢市祖父江町の木曽川岸に沿って広大な砂丘があり、その周りには松林、湿地性草花、水鳥のさえずり、澄んだ空気が和ませてくれます。,国営木曽三川公園 ワイルドネイチャープラザ,0587-97-8722,https://www.kisosansenkoen.jp/~wildnature/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/29 11:23:34
5,POINT(136.75571501255 35.2709594689601),da010106,萩原・萬葉公園,萩の名所として万葉集に数多く歌われていると伝えられ、これにちなみ昭和３２年に歌碑を建立し、萬葉公園と名付けられました。築込分園、高松分園、戸苅分園からなり、樫の木文化資料館も隣接しています。,樫の木文化資料館,0586-46-3215（一宮市博物館）,http://www.138ss.com/spot/detail/3/ ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 10:09:31
6,POINT(136.739315986633 35.2054437420115),da010107,平和桜物語,平和支所～日光川～須ヶ谷川を桜でつなぎ「桜ネックレス」と呼ばれ、約２kmのシンボルロードとなっています。約60種の桜が次々と開花し、3月上旬から5月上旬まで楽しむことができます。,稲沢市役所市長公室平和支所,0567-46-1111,http://www.city.inazawa.aichi.jp/miryoku/heiwa_sakura/index.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/27 11:00:38
7,POINT(137.101591229439 35.2147093256305),da010108,瀬戸市南公園・萩殿の森,森林治山事業とともに、当時の「萩御殿」を模した休憩施設を設置しました。明治時代のはげ山復旧工事の見学茶屋であった「萩御殿」が名の由来です。,愛知県農林水産部森林保全課,052-961-2111（代表）,http://www.pref.aichi.jp/soshiki/shinrin/0000005365.html ,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/28 15:45:53
8,POINT(137.036355323914 35.2253181742443),da010109,維摩（いま）池,維摩池周辺はウォーキングコースになっています。,尾張旭市都市整備課公園緑地係,0561-76-8161,https://www.city.owariasahi.lg.jp/kurasi/seikatu/park/imaike.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/08 10:18:41
9,POINT(137.027315497398 35.2204329467841),da010109,城山公園,公園では春には桜まつり、秋には市民祭や農業まつりが行われ、その周辺はウォーキングコースになっています。,尾張旭市都市整備課公園緑地係,0561-76-8161,https://www.city.owariasahi.lg.jp/kurasi/seikatu/park/shiroyama/001.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:55:27
10,POINT(137.026344537735 35.0992217380688),da010110,涼松（すずみまつ）せせらぎの道,愛知用水路に「ふた」をし、その上部を利用した水とふれあう公園です。,東郷町役場都市計画課,0561-56-0748（東郷町役場都市計画課）,http://www.town.aichi-togo.lg.jp/soshikikarasagasu/toshiseibika/gyomuannai/7/1/2716.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/12 09:53:49
