フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(136.80905342102 35.3576830795281),da010501,１３８タワーパーク,園内には様々な花木が栽植され、四季折々の花にちなんだイベントが行われます。１３８メートルの展望塔から、広大な濃尾平野と雄大な木曽川の流れが一望できます。,１３８タワーパーク,0586-51-7105,http://www.kisosansenkoen.jp/~tower138/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 15:06:10
2,POINT(136.806564331055 35.2752207794986),da010503,一宮地方総合卸売市場　日曜新鮮市,昭和５６年に開設された食品等供給拠点です。一般市民向けに日曜新鮮市を毎月第１日曜日に開催、野菜の即売などを行っています。,一宮地方総合卸売市場,0586-44-1119,http://ichinomiyaichiba.p-kit.com/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/26 14:10:47
4,POINT(136.775978583808 35.2200343617668),da010504,緑花木販売センター,稲沢の良質な植木・盆栽等を展示即売しています。また、造園・緑化の相談にも応じ、消費者から「緑のデパート」として好評です。,緑花木販売センター,0587-36-5070,"","","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:42:38
5,POINT(136.754647493362 35.2312392349919),da010505,愛知県下水道科学館,下水道科学館にあるビオトープでは子どもが自然とふれあえる企画を行っています。,メタウォーター下水道科学館あいち,0567-47-1551,https://www.pref.aichi.jp/soshiki/gesuido/20200228kagakukan.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2023/01/24 14:33:55
6,POINT(136.746311187744 35.2382761330275),da010506,産直広場一色下方店 ,ＪＡ愛知西の産直部会に入会している産直会員が、毎朝様々な商品をお届けします。随時、産直品を補充しており、いつでも豊富な品揃えを保っています。,ＪＡ愛知西　産直広場一色下方店 ,0587-36-6780,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 15:10:48
7,POINT(136.827619534777 35.2593302026439),da010507,産直広場下津店,笑顔で明るくいつも元気なお店です。毎朝、地元の生産者が新鮮野菜を産直コーナーに持ち込みます。特に土日は品揃え豊富です。,ＪＡ愛知西　産直広場下津店,0587-34-5721,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:48:12
8,POINT(136.80393576622 35.252286768083),da010508,産直広場国府宮店,地元の生産者がつくった新鮮・安全・安価な商品を中心としたスーパーマーケットとして、お客さまに親しまれるお店づくりをしています。,ＪＡ愛知西　産直広場国府宮店,0587-32-1251,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 15:12:05
9,POINT(136.844415664673 35.2991990609779),da010509,産直広場南小渕店,ＪＡ愛知西本所南方の、国道沿いに位置する直売所です。ＪＡ愛知西の産直部会会員が、毎朝様々な商品をお届けします。,ＪＡ愛知西　産直広場南小渕店,0586-81-2022,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:52:43
10,POINT(136.752696614503 35.3074854920093),da010510,産直広場尾西店,ＪＡ愛知西の産直部会会員が、毎朝様々な商品をお届けします。生産者が随時、産直品を補充しますので、いつでも豊富な品揃えを保っています。,ＪＡ愛知西　産直広場尾西店,0586-62-5275,http://www.ja-aichinishi.or.jp/store/,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/09 11:53:47
11,POINT(136.786512136459 35.2852490840187),da010511,愛知西のその他各直売所（お米屋さん大和店）,採れたての農産物を販売するＪＡ愛知西の産直コーナーです。農産物には生産者の名前が表示されており、お値打ち価格にて販売しています。,直売所（お米屋さん大和店）,0586-45-7100,http://www.ja-aichinishi.or.jp/store/index2.html,"","",システム管理者,2015/01/26 15:48:18,システム管理者,2022/11/22 15:17:51
