フィーチャID,形状(WKT),番号,指定区分,名称,市町村名,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(136.823058984888 35.1940985620871),001,国指定,甚目寺南大門,あま市　（旧甚目寺町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:35:59
2,POINT(136.793122880123 35.239865912461),004,国指定,性海寺多宝塔,稲沢市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:28:20
3,POINT(137.199529409409 34.9841460852397),003,国指定,滝山寺三門,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/10/27 17:31:37
4,POINT(137.124076739365 34.9485422749077),005,国指定,妙源寺柳堂,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:29:14
5,POINT(137.20561853897 34.9881995241714),006,国指定,滝山寺本堂,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:33:14
6,POINT(137.164235040539 34.9838876794523),007,国指定,大樹寺多宝塔,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:44:41
7,POINT(137.175058824462 35.0030167045449),008,国指定,信光明寺観音堂,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:49:13
8,POINT(136.831254333123 35.2333610708328),009,国指定,長光寺地蔵堂,稲沢市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:49:22
9,POINT(137.041350628945 35.0124357938336),010,国指定,知立神社多宝塔,知立市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:49:34
10,POINT(137.313717250708 34.9242469281078),011,国指定,天恩寺仏殿,岡崎市　（旧額田町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:49:50
11,POINT(137.313881317561 34.9241836255794),012,国指定,天恩寺山門,岡崎市　（旧額田町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:50:01
12,POINT(137.439853569517 34.6831933044228),013,国指定,東観音寺多宝塔,豊橋市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:50:16
13,POINT(137.399552352752 34.8201889671896),014,国指定,三明寺三重塔,豊川市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:50:30
14,POINT(137.33969617112 34.8382105811847),015,国指定,八幡宮本殿,豊川市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:50:53
15,POINT(137.311965321332 35.1344263581714),016,国指定,足助八幡宮本殿,豊田市　（旧足助町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:51:04
16,POINT(136.801001552073 35.2837624930217),017,国指定,妙興寺勅使門,一宮市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:51:47
17,POINT(137.002954784455 35.2438652522107),018,国指定,密蔵院多宝塔,春日井市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:52:00
18,POINT(136.892170148266 35.241411108841),019,国指定,高田寺本堂,北名古屋市　（旧師勝,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:52:33
19,POINT(136.718636175535 35.1783517071858),020,国指定,津島神社本殿,津島市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:52:50
20,POINT(136.858569635899 35.136690963627),026,国指定,観音寺多宝塔,名古屋市　中川区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:53:13
21,POINT(137.087442165996 34.7781596404468),027,国指定,幡頭神社本殿,西尾市　（旧吉良町）,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:54:41
22,POINT(137.09111151022 35.2803252657565),029,国指定,定光寺本堂,瀬戸市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:53:42
23,POINT(137.15897349017 34.9092718313824),030,国指定,八幡宮本殿（上地）,岡崎市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:54:02
24,POINT(136.984551782988 35.2232771756492),031,国指定,龍泉寺仁王門,名古屋市　守山区,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 11:54:17
25,POINT(137.076585758525 34.8748468754804),033,国指定,久麻久神社本殿,西尾市,"","",システム管理者,2015/01/26 15:51:01,システム管理者,2020/09/05 12:01:34
