フィーチャID,形状(WKT),番号,指定区分,種別,名称,市町村名,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
1,POINT(137.096393474631 34.9290754226365),005,国指定,史跡,二子古墳,安城市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:47:26
2,POINT(137.095485728976 34.9155075460204),006,国指定,史跡,姫小川古墳,安城市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:47:47
3,POINT(136.923954492752 35.1538859574467),11,国指定,史跡,八幡山古墳,名古屋市昭和区,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:48:00
4,POINT(136.936257417017 35.0646479179512),36,国指定,史跡,大高城跡　附　丸根砦跡　鷲津砦跡 ,名古屋市緑区,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:49:06
5,POINT(136.942116352648 35.1231454533575),038,国指定,史跡,大曲輪貝塚,名古屋市瑞穂区,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:49:28
6,POINT(136.898410697808 35.1847967330871),12,国指定,史跡,特別史跡　名古屋城跡,名古屋市中区,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:49:40
7,POINT(137.044373896638 35.2552091808287),48,国指定,史跡,志段見古墳群,名古屋市守山区,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:50:39
8,POINT(136.90319429358 35.1314866539729),52,国指定,史跡,断夫山古墳,名古屋市熱田区,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:51:03
9,POINT(136.741463378392 35.2959624225696),32,国指定,史跡,冨田一里塚（東塚）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:51:20
10,POINT(136.739298427538 35.312486832586),23,県指定,史跡,定渡船場（起渡船場跡）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:51:44
11,POINT(136.737016578016 35.3093508235205),23,県指定,史跡,宮河戸（起渡船場跡）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:51:53
12,POINT(136.736287059127 35.3079780724221),23,県指定,史跡,船橋河戸（起渡船場跡）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:52:00
13,POINT(136.828834351722 35.350494499524),16,県指定,史跡,浅井古墳群（小塞神社古墳・浅井1号墳）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:56:19
14,POINT(136.832752635316 35.3501538352106),16,県指定,史跡,浅井古墳群（桃塚古墳・浅井4号墳）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:56:11
15,POINT(136.835829679338 35.3510456845476),16,県指定,史跡,浅井古墳群（岩塚古墳・浅井14号墳）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:56:40
16,POINT(136.831679977858 35.3514669347806),16,県指定,史跡,浅井古墳群（愛宕塚古墳・浅井20号墳）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:57:03
17,POINT(136.820469545017 35.291833444401),4,県指定,史跡,馬見塚遺跡,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:07:50
18,POINT(136.800613135972 35.2845726008684),27,県指定,史跡,妙興寺境内地,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:58:29
19,POINT(136.741309780634 35.2958987830131),32,国指定,史跡,冨田一里塚（西塚）,一宮市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:51:30
20,POINT(137.16278910996 35.217626845123),45,国指定,史跡,瀬戸窯跡,瀬戸市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:52:06
21,POINT(136.968071136785 35.2198618515358),1,県指定,史跡,小野道風誕生伝説地,春日井市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:58:44
22,POINT(136.936626224452 35.225972020906),30,国指定,史跡,二子山古墳,春日井市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:52:29
23,POINT(136.936776158482 35.2273424905723),41,県指定,史跡,白山神社古墳・御旅所古墳（白山神社古墳）,春日井市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 19:59:42
24,POINT(136.935348848775 35.2270422972723),41,県指定,史跡,白山神社古墳・御旅所古墳（御旅所古墳）,春日井市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:00:09
25,POINT(136.928686204422 35.326538212615),51,国指定,史跡,青塚古墳,犬山市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:52:43
26,POINT(136.950878613708 35.3901208153789),49,国指定,史跡,東之宮古墳,犬山市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:53:09
27,POINT(136.947335332219 35.3855893385494),34,県指定,史跡,妙感寺古墳,犬山市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,""
28,POINT(136.971578135973 35.292063379612),6,県指定,史跡,高根遺跡,小牧市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:00:30
29,POINT(136.912788417498 35.2925762573588),4,国指定,史跡,小牧山,小牧市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:53:19
30,POINT(136.896219198836 35.279433587447),44,県指定,史跡,宇都宮神社古墳,小牧市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:00:59
31,POINT(137.005755374929 35.3223565376833),7,国指定,史跡,大山廃寺跡,小牧市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:53:34
32,POINT(136.863006241014 35.2744780530944),2,県指定,史跡,大地遺跡,岩倉市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:01:15
33,POINT(136.980913505613 35.0599738151128),33,国指定,史跡,桶狭間古戦場伝説地,豊明市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:54:00
34,POINT(137.003610062461 35.047782590337),31,国指定,史跡,阿野一里塚,豊明市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:54:15
35,POINT(136.854570713838 35.2211729300267),25,県指定,史跡,朝日貝塚（検見塚）,清須市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:02:13
36,POINT(136.851416755286 35.2186587653313),46,国指定,史跡,貝殻山貝塚,清須市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:54:42
37,POINT(137.087859743429 35.1189016876988),30,県指定,史跡,黒笹七号窯,愛知郡東郷町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:02:55
38,POINT(137.03718093678 35.0857025349542),24,県指定,史跡,祐福寺一里塚,愛知郡東郷町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:03:18
39,POINT(137.048009529702 35.1735061857355),37,国指定,史跡,長久手古戦場,愛知郡長久手町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:54:51
40,POINT(137.052738031179 35.1837331274983),37,国指定,史跡,長久手古戦場附首塚,愛知郡長久手町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:55:04
41,POINT(137.043039566123 35.1785403024202),37,国指定,史跡,長久手古戦場附御旗山,愛知郡長久手町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:55:16
42,POINT(137.054941827428 35.1860609097894),37,国指定,史跡,長久手古戦場附色金山,愛知郡長久手町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:55:24
43,POINT(136.924296378745 35.3563845232076),17,県指定,史跡,長泉塚古墳,丹羽郡扶桑町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:03:51
44,POINT(136.946349038834 34.927994518656),10,県指定,史跡,大高山古窯,半田市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:04:21
45,POINT(136.869264212186 34.9231786564491),13,県指定,史跡,篭池古窯,常滑市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:04:58
46,POINT(136.941435250788 34.9396867334427),43,県指定,史跡,板山長根古窯,知多郡阿久比町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:05:32
47,POINT(136.969602762599 34.9854496042918),41,国指定,史跡,入海貝塚,知多郡東浦町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:55:34
48,POINT(136.853358246734 34.7709668984052),8,県指定,史跡,史跡大御堂寺,知多郡美浜町,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:05:57
49,POINT(137.193696341461 34.9414160130501),34,国指定,史跡,大平一里塚,岡崎市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:55:52
50,POINT(137.139905691736 34.9904474963627),8,国指定,史跡,北野廃寺跡,岡崎市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:56:06
51,POINT(137.15138296846 34.9458353203463),50,国指定,史跡,真宮遺跡,岡崎市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/05 12:56:22
52,POINT(137.172407766776 35.0066047210131),20,県指定,史跡,岩津第一号古墳,岡崎市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:06:29
53,POINT(137.209556492838 34.935750137902),31,県指定,史跡,神明宮第一号古墳,岡崎市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:06:52
54,POINT(137.153205588902 34.9138959564724),32,県指定,史跡,太夫塚古墳,岡崎市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:07:04
55,POINT(136.994308365705 34.9984774200263),21,県指定,史跡,刈谷西部の縄文遺跡（山の神遺跡）,刈谷市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:07:24
56,POINT(136.99713143809 35.0107323939601),21,県指定,史跡,刈谷西部の縄文遺跡（天子神社貝塚）,刈谷市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:08:20
57,POINT(136.989968417499 34.9788731398371),21,県指定,史跡,刈谷西部の縄文遺跡（本刈谷貝塚）,刈谷市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:08:29
58,POINT(137.000054619002 35.0118632799347),21,県指定,史跡,刈谷西部の縄文遺跡（八ツ崎貝塚）,刈谷市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:08:39
59,POINT(137.019247059974 35.0203078390119),21,県指定,史跡,刈谷西部の縄文遺跡（芋川遺跡）,刈谷市,"","",システム管理者,2015/01/26 15:51:03,システム管理者,2020/09/18 20:08:50
