緯度情報,経度情報,愛工大からの距離,データ名
35.3653033790,136.7718795387,143.7804541319,天然鮎せり市
35.3353307824,136.7595220790,143.7929364694,葛利毛織工業株式会社
35.3642234100,136.7910718918,143.7947793634,川釣り体験場　マス釣り
35.3124868326,136.7392984275,143.7948227145,定渡船場（起渡船場跡）
35.3123072128,136.7394863258,143.7950825818,旧湊屋
35.3093508235,136.7370165780,143.7954313564,宮河戸（起渡船場跡）
35.3097949700,136.7377070356,143.7956045401,起のやまがき
35.3093246017,136.7372476507,143.7956131128,起の大いちょう
35.3079780724,136.7362870591,143.7958880257,船橋河戸（起渡船場跡）
35.3059960207,136.7364073529,143.7973762459,旧林氏庭園
35.3061223571,136.7366267800,143.7974417656,旧林家住宅主屋及び裏座敷
35.3057441253,136.7366659641,143.7977372223,【尾張】尾西歴史民俗資料館
35.3130133023,136.7454761746,143.7988131428,墨会館
35.3162257918,136.7490667964,143.7990749740,一宮桜まつり（尾西緑道）
35.3443661235,136.7782413462,143.7997659197,木曽川資料館
35.3079505026,136.7457854748,143.8026157607,一宮市三岸節子記念美術館
35.3577312043,136.7971658707,143.8036793334,木曽川堤の桜
35.2596459816,136.7029237747,143.8065557980,木曽三川公園 ワイルドネイチャープラザ
35.2595145730,136.7029023170,143.8066337225,木曽三川公園ワイルドネイチャープラザ
35.3074854920,136.7526966145,143.8078261153,産直広場尾西店
35.2958987830,136.7413097806,143.8079872382,冨田一里塚（西塚）
35.2959624226,136.7414633784,143.8080506525,冨田一里塚（東塚）
35.3568036513,136.8067133958,143.8110822172,一宮桜まつり（木曽川堤）
35.3577224543,136.8090641499,143.8120932666,【尾張】138タワーパーク
35.3576830795,136.8090534210,143.8121135450,１３８タワーパーク
35.3062823939,136.7594215776,143.8134276145,旧起第二尋常小学校奉安殿
35.3429827076,136.8059606008,143.8203298964,愛知西のその他各直売所（お米屋さん葉栗店）
35.3536294233,136.8249152675,143.8261908465,木曽川堤（サクラ）
35.3504944995,136.8288343517,143.8311784622,浅井古墳群（小塞神社古墳・浅井1号墳）
35.3514669348,136.8316799779,143.8325014788,浅井古墳群（愛宕塚古墳・浅井20号墳）
35.2568040300,136.7387557051,143.8338659269,ぎんなん・いちょう並木
35.2568040300,136.7387557051,143.8338659269,ぎんなん・いちょう並木
35.3501538352,136.8327526353,143.8341885583,浅井古墳群（桃塚古墳・浅井4号墳）
35.2078544734,136.6902315617,143.8342852083,れんこん
35.2567330395,136.7400240898,143.8348117572,祖父江ぎんなんパーク
35.3510456845,136.8358296793,143.8357321848,浅井古墳群（岩塚古墳・浅井14号墳）
35.2709901267,136.7557364702,143.8358111426,萩原・萬葉公園
35.2709594690,136.7557150126,143.8358176969,萩原・萬葉公園
35.3058274758,136.7944803911,143.8385139236,一宮桜まつり（稲荷公園）
35.2905806763,136.7817637685,143.8403234532,森川家住宅
35.3323446658,136.8241028873,143.8406769063,長誓寺本堂（旧渡辺半蔵邸書院） 
35.3305390095,136.8231095270,143.8412526620,一宮桜まつり（浅井山公園）
35.3075543520,136.8020931577,143.8426696585,国登録
35.2852490840,136.7865121365,143.8474515119,愛知西のその他各直売所（お米屋さん大和店）
35.3052562004,136.8082834096,143.8486693627,一宮桜まつり（大江川緑道）
35.3494053189,136.8563007096,143.8513607447,曼陀羅寺書院
35.3491711505,136.8563786215,143.8515814681,曼陀羅寺正堂
35.3669020494,136.8744795673,143.8518340404,木曽川堤（サクラ）
35.3709506804,136.8787680361,143.8520021562,スイトピアYuYuクラブ朝市
35.3494795751,136.8573224545,143.8520303767,まんだら青空市 （曼陀羅寺公園大型バス駐車場）
35.3488665617,136.8571169381,143.8523187768,曼陀羅寺伽藍（地蔵堂）
35.2382761330,136.7463111877,143.8523213260,産直広場一色下方店 
35.3496545919,136.8579500914,143.8523501784,曼陀羅寺公園のフジ
35.3496895952,136.8579983711,143.8523595405,曼陀羅寺公園のフジ
35.2381184010,136.7462253571,143.8523724319,産直広場一色下方店 
35.3705751167,136.8795311451,143.8528072567,すいとぴあ江南
35.3706276081,136.8797135353,143.8528990714,すいとぴあ江南
35.2853650453,136.8003457218,143.8571407751,妙興寺鐘楼
35.2845726009,136.8006131360,143.8578905930,妙興寺境内地
35.2839835717,136.8001270294,143.8579641617,【尾張】一宮市博物館・妙興寺
35.2837624930,136.8010015521,143.8587383869,妙興寺勅使門
35.3354157364,136.8559598923,143.8610167548,国登録
35.2314013622,136.7546260357,143.8630604385,【尾張】愛知県下水道科学館
35.2312392350,136.7546474934,143.8631904043,愛知県下水道科学館
35.3749580278,136.8995296955,143.8638462865,木曽川扶桑緑地公園
35.3751417375,136.8998193741,143.8639211821,木曽川扶桑緑地公園
35.3438144854,136.8698430375,143.8648875335,まんだら青空市 （JA愛知北江南支店）
35.3415771718,136.8678689003,143.8650748700,愛知北地域の新鮮野菜市
35.2852490840,136.8129909039,143.8661553573,愛知西のその他各直売所（お米屋さん丹陽西店）
35.1613541917,136.6890621185,143.8664088380,花ハス
35.1613541917,136.6892230511,143.8665223848,ハスの風景
35.2918334444,136.8204695450,143.8667783650,馬見塚遺跡
35.2753784393,136.8065214157,143.8685720573,一宮地方総合卸売市場
35.2752207795,136.8065643311,143.8687139708,一宮地方総合卸売市場　日曜新鮮市
35.2478621574,136.7798709869,143.8692297958,【尾張】稲沢の伝統文化
35.3380847541,136.8705948263,143.8694721354,報光寺本堂
35.2384409565,136.7722714410,143.8705342983,尾張国分寺跡
35.2054437420,136.7393159866,143.8706368800,平和桜物語
35.2051982817,136.7398309708,143.8711742653,平和の桜並木
35.3096313708,136.8446969701,143.8713008785,うみたて卵直売店　うきうき村
35.2049177547,136.7400026321,143.8714941432,【尾張】一宮の桜まつり
35.1743110618,136.7107976424,143.8725645830,下新田の藤
35.1384113792,136.6773302438,143.8743919873,【海部】加藤牧場
35.1784266037,136.7180916667,143.8747960207,津島神社のイチョウ
35.1783517072,136.7186361755,143.8752333533,津島神社本殿
35.2478884429,136.7884647846,143.8752800156,稲沢公園
35.1781805593,136.7186700521,143.8753785178,津島神社
35.1780440403,136.7186254263,143.8754437476,津島神社
35.2297713119,136.7708104849,143.8756418440,植木センター（愛知県植木センター）
35.1781638704,136.7190324558,143.8756460963,津島神社楼門
35.1777478780,136.7186724261,143.8756867456,津島神社南門
35.2471349211,136.7882931232,143.8756922905,稲沢公園
35.2296661463,136.7708265781,143.8757276785,愛知県植木センター
35.3635400267,136.9056646840,143.8762585762,川田家住宅主屋
35.3419839149,136.8846135290,143.8766228237,宮後八幡社本殿
35.2466530139,136.7893338203,143.8767684271,荻須記念美術館
35.1761498315,136.7192745209,143.8772438637,堀田家住宅
35.1764994867,136.7199198944,143.8774515828,旧堀田家住宅（愛知県津島市禰宜町） 
35.1766645239,136.7203906816,143.8776668970,旧堀田廣之家住宅
35.1787208725,136.7234210945,143.8783486478,旧津島信用金庫
35.1787368186,136.7234855890,143.8783828665,津島市観光交流センター（まつりの館　津島屋）
35.2991990610,136.8444156647,143.8784842118,産直広場南小渕店
35.1736241512,136.7204976082,143.8798964559,天王川公園
35.1736767703,136.7206585407,143.8799727464,天王川公園
35.1644978602,136.7117196169,143.8801683304,JAあいち海部グリーンセンター津島店
35.1643363393,136.7115926743,143.8801932023,ＪＡあいち海部グリーンセンター津島店 （愛菜耕房）
35.1318783305,136.6801674257,143.8810239203,船頭平閘門
35.1318338064,136.6802000999,143.8810785275,船頭平閘門
35.1317241268,136.6801893711,143.8811486988,【海部】船頭平閘門
35.1774610803,136.7265020709,143.8814155393,寳泉寺書院（旧服部家住宅書院）
35.2558858134,136.8054896937,143.8816419151,尾張大国霊神社拝殿
35.2556243367,136.8054688743,143.8818123162,尾張大国霊神社楼門
35.1441169911,136.6941690445,143.8822275412,【海部】立田道の駅
35.3861646026,136.9367557091,143.8822451866,犬山頭首工
35.1441941812,136.6943830443,143.8823238166,立田ふれあいの里
35.1441941812,136.6943830443,143.8823238166,道の駅「立田ふれあいの里」
35.1656048750,136.7159006466,143.8823343087,愛知県立津島高等学校正門門柱（旧愛知県津島中学校正門）
35.3883598170,136.9392812393,143.8824792281,国宝　犬山城天守
35.3876684977,136.9393340130,143.8830053128,犬山城跡
35.2522867681,136.8039357662,143.8830922865,産直広場国府宮店
35.2522848516,136.8040660841,143.8831856831,国府宮の農産物直売所
35.3815432828,136.9338466254,143.8834553264,西蓮寺
35.2398659125,136.7931228801,143.8842496255,性海寺多宝塔
35.2400111648,136.7934912443,143.8844069195,あじさい寺（大塚性海寺歴史公園）
35.2400024470,136.7935507673,143.8844551265,あじさい寺（大塚性海寺歴史公園）
35.2399483619,136.7935510150,143.8844935948,性海寺本堂及び宝塔
35.3880316892,136.9421661529,143.8847514800,旧正伝院書院
35.3835175952,136.9376609436,143.8847568460,国登録
35.3879509917,136.9423975361,143.8849721720,国宝　如庵
35.3918705773,136.9464486847,143.8850662503,木曽川
35.3828848958,136.9375134842,143.8850998966,専念寺
35.3591846883,136.9139115375,143.8851693293,ふれあい青空市（扶桑町）
35.3837715005,136.9392170661,143.8856778139,井上家住宅
35.3840425859,136.9395685312,143.8857347090,山田家住宅主屋
35.3839349957,136.9398770301,143.8860289475,車山蔵
35.3829943535,136.9389589053,143.8860446990,大島家住宅茶室
35.2200343618,136.7759785838,143.8861860278,緑花木販売センター
35.3833305553,136.9396145546,143.8862706721,伊藤家住宅
35.3842255488,136.9409989400,143.8866169432,宮田家住宅
35.3823743368,136.9392319945,143.8866761897,瀧野家住宅蔵
35.3821043695,136.9394749018,143.8870388444,遠藤家住宅主屋
35.3829262840,136.9403421435,143.8870710480,小島家住宅
35.3817436608,136.9393988658,143.8872401006,高木家住宅
35.3833964577,136.9411113187,143.8872825921,三井家住宅
35.3815096461,136.9395866363,143.8875383438,旧磯部家住宅
35.3808627712,136.9395160675,143.8879457932,犬山どんでん朝市
35.3819442627,136.9406200557,143.8879618907,川村家住宅
35.3808073958,136.9395531003,143.8880111342,ま野家住宅
35.3834977648,136.9422667707,143.8880281104,佐橋家住宅主屋
35.3788964686,136.9381519032,143.8883713117,祥雲寺
35.3822067376,136.9418859017,143.8886715240,圓明寺
35.3834139990,136.9431987273,143.8887464222,旧小守家住宅主屋
35.3816490361,136.9418206137,143.8890196538,浄誓寺本堂
35.1726309585,136.7325058579,143.8890746571,国登録
35.2559536943,136.8163142244,143.8892393185,萬徳寺多宝塔
35.3830855419,136.9435777375,143.8892466824,梅田家住宅
35.2560897022,136.8165883816,143.8893366855,万徳寺鎮守堂
35.2985001924,136.8590901164,143.8893477047,一宮桜まつり（青木川）
35.3788598418,136.9396056670,143.8894252818,堀部家住宅
35.3901208154,136.9508786137,143.8894363539,東之宮古墳
35.3831677850,136.9441828931,143.8896165103,奥村家住宅
35.3855893385,136.9473353322,143.8901339769,妙感寺古墳
35.3776194366,136.9399565152,143.8905504012,徳授寺
35.1545562408,136.7172789574,143.8911355734,鈴木家住宅
35.3869389390,136.9509421256,143.8917307242,尾関家住宅
35.2053648441,136.7694532871,143.8919677629,【海部】二十五菩薩来迎会
35.2054262092,136.7696678638,143.8920757915,蓮華寺寺叢
35.2054042931,136.7697161436,143.8921253980,蓮華寺寺叢
35.2053673440,136.7697868434,143.8922014794,蓮華寺のカヤノキ
35.2055103891,136.7701857708,143.8923818107,蓮華寺庭園
35.3563845232,136.9242963787,143.8944920210,長泉塚古墳
35.2593302026,136.8276195348,143.8948347622,産直広場下津店
35.3951637794,136.9636241228,143.8948861788,寂光院
35.3533421297,136.9220058642,143.8950240214,覚王寺
35.3284135351,136.9100546837,143.9042055063,【尾張】大口歴史民俗資料館
35.3283754205,136.9102236472,143.9043519062,大口町朝市会
35.3276345027,136.9096899033,143.9044986594,【尾張】北愛知の文化
35.2256127828,136.8086779118,143.9053259720,愛知西のその他各直売所（産直広場大里店）
35.1399222726,136.7233635485,143.9057985156,八幡社本殿
35.2772927421,136.8638971266,143.9077510819,産直センター岩倉店
35.2744780531,136.8630062410,143.9091134388,大地遺跡
35.1288087878,136.7169061303,143.9091178250,服部家住宅（愛知県海部郡弥富町） 
35.1287539460,136.7169141769,143.9091623671,【海部】服部家住宅
35.2827392136,136.8719459478,143.9095842568,岩倉野菜の広場
35.1936695785,136.7832720280,143.9100065023,【海部】湯の花神事
35.1764765860,136.7703243365,143.9130434166,朝市かもり
35.1762287578,136.7706012726,143.9134144452,【海部】朝市かもり
35.3531412148,136.9489194860,143.9141961748,国登録
35.2333610708,136.8312543331,143.9157850139,長光寺地蔵堂
35.3756316278,136.9740629196,143.9160770130,中島池
35.2780558701,136.8773713170,143.9167318299,五条川の桜と尾北自然歩道
35.2780558701,136.8773713170,143.9167318299,五条川の桜と尾北自然歩道
35.3459745815,136.9457130044,143.9169964098,吉野家住宅
35.3505922647,136.9520350637,143.9182016124,旧加茂郡銀行羽黒支店
35.3265382126,136.9286862044,143.9187031457,青塚古墳
35.2373122105,136.8411433697,143.9199729236,五条川の桜
35.3647907317,136.9719205325,143.9222256789,神明社楼門
35.2466354899,136.8545007706,143.9228091931,【尾張】西春日井の伝統文化
35.2449802000,136.8547212585,143.9241365449,グリーン西春日井
35.1063227321,136.7186307907,143.9262706029,【海部】海部水郷地帯の酒
35.3701018799,136.9846407684,143.9274677814,犬山里山学センター
35.3701018799,136.9846407684,143.9274677814,犬山里山学センター
35.1061999658,136.7210168537,143.9280409101,弥富市歴史民俗資料館
35.1045936224,136.7194569111,143.9280788991,【海部】水郷の塔
35.1044448884,136.7193152019,143.9280843431,水郷の塔
35.1044448884,136.7193152019,143.9280843431,水郷の塔
35.1838184738,136.7990863323,143.9281481074,七宝焼アートヴィレッジ
35.1094780432,136.7245799303,143.9282313638,YaToMiAQUA（弥富金魚水族館）
35.1836650204,136.7990648746,143.9282416330,七宝焼アートヴレッジ
35.1097632879,136.7250251770,143.9283433296,【海部】文鳥
35.1093946639,136.7247784138,143.9284304856,弥富の金魚市場
35.1888208974,136.8049335480,143.9287338514,【海部】ハナショウブの風景
35.2794335874,136.8962191988,143.9290759004,宇都宮神社古墳
35.1686819266,136.7852372276,143.9290914976,JA海部東グリーンプラザ
35.1686819266,136.7852372276,143.9290914976,ＪＡ海部東グリーンプラザ
